description,developer,format,genre,link,name,path,players,publisher,releasedate,size
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crimson%20Gem%20Saga%E2%84%A2%20%5BULUS10400%5D.7z?download=true,Crimson Gem Saga™ [ULUS10400],Crimson Gem Saga™ [ULUS10400].7z,,,,437 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crisis%20Core%20-%20Final%20Fantasy%20VII%20%28Germany%29.iso?download=true,Crisis Core - Final Fantasy VII (Germany).iso,Crisis Core - Final Fantasy VII (Germany).iso,,,,1.74 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crisis%20Core%20Final%20Fantasy%20VII.7z?download=true,Crisis Core Final Fantasy VII,Crisis Core Final Fantasy VII.7z,,,,899 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crush%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Crush (Europe) (En,Fr,De,Es,It).iso","Crush (Europe) (En,Fr,De,Es,It).iso",,,,832 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Crush%20%28USA%29%20%28En%2CFr%2CEs%29.iso?download=true,"Crush (USA) (En,Fr,Es).iso","Crush (USA) (En,Fr,Es).iso",,,,612 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dai-2-ji%20Super%20Robot%20Taisen%20Z%20Saisei-hen%20%28Japan%29.iso?download=true,Dai-2-ji Super Robot Taisen Z Saisei-hen (Japan).iso,Dai-2-ji Super Robot Taisen Z Saisei-hen (Japan).iso,,,,1.69 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dante%27s%20Inferno%20%28Germany%29.iso?download=true,Dante's Inferno (Germany).iso,Dante's Inferno (Germany).iso,,,,1.81 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dante%27s%20Inferno%20%28Italy%29.iso?download=true,Dante's Inferno (Italy).iso,Dante's Inferno (Italy).iso,,,,1.81 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Disney%20Pirates%20of%20the%20Caribbean%20-%20At%20World%27s%20End%20%28USA%29.iso?download=true,Disney Pirates of the Caribbean - At World's End (USA).iso,Disney Pirates of the Caribbean - At World's End (USA).iso,,,,739 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Disney-Pixar%20Ratatouille%20%28Europe%29.iso?download=true,Disney-Pixar Ratatouille (Europe).iso,Disney-Pixar Ratatouille (Europe).iso,,,,906 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Disney-Pixar%20Ratatouille%20%28Germany%29.iso?download=true,Disney-Pixar Ratatouille (Germany).iso,Disney-Pixar Ratatouille (Germany).iso,,,,906 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Disney-Pixar%20Ratatouille%20%28Greece%29.iso?download=true,Disney-Pixar Ratatouille (Greece).iso,Disney-Pixar Ratatouille (Greece).iso,,,,906 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Disney-Pixar%20Up%20%28Europe%29%20%28Fr%2CNl%29.iso?download=true,"Disney-Pixar Up (Europe) (Fr,Nl).iso","Disney-Pixar Up (Europe) (Fr,Nl).iso",,,,671 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Disney-Pixar%20Up%20%28Italy%29.iso?download=true,Disney-Pixar Up (Italy).iso,Disney-Pixar Up (Italy).iso,,,,526 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/DISSIDIA%20duodecim%20FINAL%20FANTASY%20%5BULUS10566%5D.7z?download=true,DISSIDIA duodecim FINAL FANTASY [ULUS10566],DISSIDIA duodecim FINAL FANTASY [ULUS10566].7z,,,,1.05 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/DISSIDIA%20duodecim%20prologus%20FINAL%20FANTASY%20%5BNPUH10110%5D.7z?download=true,DISSIDIA duodecim prologus FINAL FANTASY [NPUH10110],DISSIDIA duodecim prologus FINAL FANTASY [NPUH10110].7z,,,,157 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/DISSIDIA%20FINAL%20FANTASY%20%5BULUS10437%5D.7z?download=true,DISSIDIA FINAL FANTASY [ULUS10437],DISSIDIA FINAL FANTASY [ULUS10437].7z,,,,1.10 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dot%20Hack%20Link%20%28English%20patched%20v1.0.2%29.7z?download=true,Dot Hack Link (English patched v1.0.2),Dot Hack Link (English patched v1.0.2).7z,,,,702 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dragoneer%27s%20Aria%20%28Europe%29.iso?download=true,Dragoneer's Aria (Europe).iso,Dragoneer's Aria (Europe).iso,,,,456 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dragoneer%27s%20Aria%20%28USA%29.iso?download=true,Dragoneer's Aria (USA).iso,Dragoneer's Aria (USA).iso,,,,388 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Dragoneer%27s%20Aria%20%5BULUS10291%5D.7z?download=true,Dragoneer's Aria [ULUS10291],Dragoneer's Aria [ULUS10291].7z,,,,220 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Driver%2076%20%5BULUS10235%5D.7z?download=true,Driver 76 [ULUS10235],Driver 76 [ULUS10235].7z,,,,523 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Eiyuu%20Densetsu%20-%20Zero%20no%20Kiseki%20%28Japan%29.iso?download=true,Eiyuu Densetsu - Zero no Kiseki (Japan).iso,Eiyuu Densetsu - Zero no Kiseki (Japan).iso,,,,1.39 GB
