name,link,size
7 Wonders of the Ancient World (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/7%20Wonders%20of%20the%20Ancient%20World%20%28USA%29/7%20Wonders%20of%20the%20Ancient%20World%20%28USA%29.iso,73.75 MB
77 - Beyond the Milky Way (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/77%20-%20Beyond%20the%20Milky%20Way%20%28Japan%29/77%20-%20Beyond%20the%20Milky%20Way%20%28Japan%29.iso,1.57 GB
7th Dragon 2020 (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/7th%20Dragon%202020%20%28Japan%29/7th%20Dragon%202020%20%28Japan%29.iso,1.05 GB
7th Dragon 2020-II (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/7th%20Dragon%202020-II%20%28Japan%29/7th%20Dragon%202020-II%20%28Japan%29.iso,1.23 GB
A la croisee des mondes - La Boussole d'or (France).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/A%20la%20croisee%20des%20mondes%20-%20La%20Boussole%20d%27or%20%28France%29/A%20la%20croisee%20des%20mondes%20-%20La%20Boussole%20d%27or%20%28France%29.iso,1.18 GB
Abunai - Koi no Sousa Shitsu (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Abunai%20-%20Koi%20no%20Sousa%20Shitsu%20%28Japan%29/Abunai%20-%20Koi%20no%20Sousa%20Shitsu%20%28Japan%29.iso,1.19 GB
Accel World - Gin'yoku no Kakusei (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Accel%20World%20-%20Gin%27yoku%20no%20Kakusei%20%28Japan%29/Accel%20World%20-%20Gin%27yoku%20no%20Kakusei%20%28Japan%29.iso,1.52 GB
Accel World - Kasoku no Chouten (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Accel%20World%20-%20Kasoku%20no%20Chouten%20%28Japan%29/Accel%20World%20-%20Kasoku%20no%20Chouten%20%28Japan%29.iso,1.41 GB
"Ace Combat - Joint Assault (Europe) (En,Ja,Fr,De,Es,It).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20-%20Joint%20Assault%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%29/Ace%20Combat%20-%20Joint%20Assault%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%29.iso,1.65 GB
Ace Combat - Joint Assault (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20-%20Joint%20Assault%20%28USA%29/Ace%20Combat%20-%20Joint%20Assault%20%28USA%29.iso,1.65 GB
