name,size,link
Battle Stations (USA).chd,190 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Battle%20Stations%20%28USA%29.chd?download=true
BattleSport (USA).chd,372 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/BattleSport%20%28USA%29.chd?download=true
BattleTanx - Global Assault (USA).chd,385 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/BattleTanx%20-%20Global%20Assault%20%28USA%29.chd?download=true
Beast Wars - Transformers (USA).chd,239 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Beast%20Wars%20-%20Transformers%20%28USA%29.chd?download=true
Beltlogger 9 (Japan) (Shokai Genteiban).chd,381 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Beltlogger%209%20%28Japan%29%20%28Shokai%20Genteiban%29.chd?download=true
Best Buy Demo CD (USA).chd,125 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Best%20Buy%20Demo%20CD%20%28USA%29.chd?download=true
Best Buy Greatest Hits Demo Disc - Volume One (USA).chd,162 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Best%20Buy%20Greatest%20Hits%20Demo%20Disc%20-%20Volume%20One%20%28USA%29.chd?download=true
"Best of PlayStation Underground Year One, The (USA).chd",473 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Best%20of%20PlayStation%20Underground%20Year%20One%2C%20The%20%28USA%29.chd?download=true
Beyblade (USA).chd,135 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Beyblade%20%28USA%29.chd?download=true
Bio Hazard (Japan) (Sample 1996-01-31).chd,338 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Bio%20Hazard%20%28Japan%29%20%28Sample%201996-01-31%29.chd?download=true
Biohazard 2 (Japan) (Trial Edition).chd,109 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Biohazard%202%20%28Japan%29%20%28Trial%20Edition%29.chd?download=true
Bishoujo Senshi Sailor Moon SuperS - Shin Shuyaku Soudatsusen (Japan) (Shokai Genteiban).chd,338 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Bishoujo%20Senshi%20Sailor%20Moon%20SuperS%20-%20Shin%20Shuyaku%20Soudatsusen%20%28Japan%29%20%28Shokai%20Genteiban%29.chd?download=true
Black-Matrix 00 (Japan) (Disc 1) (Shokai Genteiban).chd,394 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Black-Matrix%2000%20%28Japan%29%20%28Disc%201%29%20%28Shokai%20Genteiban%29.chd?download=true
Black-Matrix 00 (Japan) (Disc 2) (Shokai Genteiban).chd,349 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Black-Matrix%2000%20%28Japan%29%20%28Disc%202%29%20%28Shokai%20Genteiban%29.chd?download=true
